fair_edition_code;fair_name;city;venue;starts_on;ends_on;max_stand_height_m
BEAUTY-2024;Beauty Trade Forum;Bologna;East Exhibition Centre;24/06/2024;27/06/2024;4,50
PACK-2024;Packaging Industry Week;Milan;North Exhibition Centre;20/10/2024;23/10/2024;5,00
LIVING-2024;Living Spaces Expo;Verona;South Exhibition Centre;12/11/2024;15/11/2024;4,00
FOOD-2024;Food & Hospitality Trade;Parma;West Exhibition Centre;08/12/2024;11/12/2024;4,50
BEAUTY-2025;Beauty Trade Forum;Bologna;East Exhibition Centre;24/06/2025;27/06/2025;4,50
PACK-2025;Packaging Industry Week;Milan;North Exhibition Centre;20/10/2025;23/10/2025;5,00
LIVING-2025;Living Spaces Expo;Verona;South Exhibition Centre;12/11/2025;15/11/2025;4,00
FOOD-2025;Food & Hospitality Trade;Parma;West Exhibition Centre;08/12/2025;11/12/2025;4,50
BEAUTY-2026;Beauty Trade Forum;Bologna;East Exhibition Centre;24/06/2026;27/06/2026;4,50
PACK-2026;Packaging Industry Week;Milan;North Exhibition Centre;20/10/2026;23/10/2026;5,00
LIVING-2026;Living Spaces Expo;Verona;South Exhibition Centre;12/11/2026;15/11/2026;4,00
FOOD-2026;Food & Hospitality Trade;Parma;West Exhibition Centre;08/12/2026;11/12/2026;4,50
BEAUTY-2027;Beauty Trade Forum;Bologna;East Exhibition Centre;24/06/2027;27/06/2027;4,50
PACK-2027;Packaging Industry Week;Milan;North Exhibition Centre;20/10/2027;23/10/2027;5,00
LIVING-2027;Living Spaces Expo;Verona;South Exhibition Centre;12/11/2027;15/11/2027;4,00
FOOD-2027;Food & Hospitality Trade;Parma;West Exhibition Centre;08/12/2027;11/12/2027;4,50
