opportunity_code;company_code;contact_code;description;amount_eur;legacy_status;opened_on;expected_close_on;historical_campaign_code;fair_edition_code;stand_area_sqm;client_budget_eur;requested_height_m;brief_notes
OP000001;CO000001;CO000001-P01;Next edition: product launch stand;48000,00;Open;15/01/2026;30/11/2026;CMP-2025-REF;BEAUTY-2027;80,00;50000,00;4,00;"Reception, two open meeting tables, demo counter and locked store. Plot confirmed; artwork supplied. Quote for the 2027 edition only."
OP000002;CO000001;CO000001-P02;Summer edition: modular stand;12500,00;Won;10/02/2026;15/06/2026;CMP-2024-WEB;BEAUTY-2026;32,00;13000,00;3,00;Modular stand with reception and sample shelves. Summer order accepted. This agreement does not cover next year's stand.
OP000003;CO000002;CO000002-P01;Packaging launch stand;31500,00; open ;01/01/2026;15/10/2026;CMP-2026-OUT;PACK-2026;;30000,00;;"Sales wants a technical handoff today. Plot size is still with the organiser; client has not decided the height."
OP000004;CO000003;CO000003-P01;Stand with product demonstration counter;22000,00;Lost;20/03/2026;30/07/2026;;PACK-2026;48,00;24000,00;4,00;"Demonstration counter and storage. Client chose another contractor; call after the fair about next year."
OP000005;CO000004;CO000004-P01;Machinery display stand with high fascia;76000,00; OPEN ;01/06/2026;01/10/2026;CMP-2025-EVENT;PACK-2026;120,00;80000,00;6,00;Client asks for a 6 m fascia so the stand is visible across the hall. No exception to the edition limit is recorded.
OP000006;CO000005;CO000005-P01;Furniture collection launch stand;8900,00;Qualified;10/08/2026;30/09/2026;CMP-2026-OUT;LIVING-2026;24,00;9500,00;3,00;Furniture display, one open meeting table and storage. Plot and requested height confirmed.
OP000007;CO005434;CO005434-P02;Two-brand stand with shared reception;22400,00; lost ;11/03/2024;27/04/2024;CMP-2024-WEB;BEAUTY-2024;64,00;20160,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000008;CO003353;CO003353-P03;Reuse of last edition's stand;104000,00;Won;01/06/2024;22/08/2024;CMP-2025-REF;PACK-2024;160,00;114400,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000009;CO001272;CO001272-P01;Stand refurbishment and installation;15600,00;Won;20/02/2024;24/09/2024;CMP-2025-EVENT;LIVING-2024;24,00;17160,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000010;CO009191;CO009191-P02;Reuse of last edition's stand;27200,00;WON;13/07/2024;15/11/2024;CMP-2024-WEB;FOOD-2024;64,00;27200,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000011;CO007110;CO007110-P01;Island stand for distributor meetings;156000,00;Won;12/02/2025;26/04/2025;CMP-2025-REF;BEAUTY-2025;240,00;140400,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000012;CO005029;CO005029-P01;Two-brand stand with shared reception;56000,00;Won;27/01/2025;21/09/2025;CMP-2025-EVENT;PACK-2025;160,00;50400,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000013;CO002948;CO002948-P02;Two-brand stand with shared reception;11200,00;Won;23/02/2025;01/10/2025;CMP-2025-EVENT;LIVING-2025;32,00;10080,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000014;CO000867;CO000867-P01;Custom stand for product launch;25600,00;Lost;25/05/2025;21/10/2025;CMP-2024-WEB;FOOD-2025;32,00;28160,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
